,symbol,entry_dt,position_size,entry_price_0,qty_0,entry_price_1,qty_1,exit_dt,exit_type,profit_loss,fees,status,exit_price_0,exit_price_1
62,AVAXUSDT_LINKUSDT,2024-01-24 00:00:00,101600.0,30.609,-1659.6425887810774,14.292,3554.436048138819,2024-02-01 16:00:00,exitcondition,3968.5106033498237,103.58425530167492,closed,33.387,16.718
63,ADAUSDT_UNIUSDT,2024-02-01 00:00:00,36400.0,0.4975,36582.91457286432,5.998,-3034.3447815938644,2024-02-02 00:00:00,exitcondition,245.47666307529656,36.52273833153765,closed,0.5078,6.042
64,ADAUSDT_VETUSDT,2024-01-30 08:00:00,14300.0,0.5288,13521.180030257185,0.02924,-244528.0437756498,2024-02-02 12:00:00,exitcondition,-47.440660111633726,14.276279669944184,closed,0.5192,0.02885
65,ADAUSDT_AVAXUSDT,2024-01-31 04:00:00,94800.0,0.5124,-92505.85480093678,34.943,1356.4948630627023,2024-02-02 12:00:00,exitcondition,1274.6879511571258,95.43734397557856,closed,0.5192,36.366
66,AVAXUSDT_VETUSDT,2024-02-01 00:00:00,14300.0,33.173,215.5367316793778,0.0282,-253546.09929078014,2024-02-02 12:00:00,exitcondition,505.2929254608282,14.552646462730415,closed,36.366,0.02885
67,ADAUSDT_VETUSDT,2024-02-02 20:00:00,14300.0,0.5105,14005.876591576887,0.02913,-245451.4246481291,2024-02-03 08:00:00,exitcondition,172.19655514322818,14.386098277571614,closed,0.5184,0.02885
68,ATOMUSDT_FILUSDT,2024-01-23 16:00:00,92400.0,9.084,-5085.865257595773,4.831,9563.237424963774,2024-02-03 12:00:00,exitcondition,3727.9687109916176,94.26398435549581,closed,9.128,5.243
69,ADAUSDT_UNIUSDT,2024-02-02 04:00:00,36400.0,0.5066,35925.779707856294,6.086,-2990.4699309891553,2024-02-03 12:00:00,exitcondition,393.5578850789672,36.59677894253949,closed,0.5215,6.14
70,DOTUSDT_FILUSDT,2024-02-03 12:00:00,130600.0,6.893,9473.37879007689,5.241,-12459.454302614005,2024-02-03 16:00:00,exitcondition,855.4283907366595,131.02771419536833,closed,6.882,5.166
71,ADAUSDT_AVAXUSDT,2024-02-03 12:00:00,94800.0,0.5219,-90821.99655106342,35.745,1326.059588753672,2024-02-03 20:00:00,exitcondition,1076.207501288316,95.33810375064417,closed,0.5175,36.263
72,AVAXUSDT_DOTUSDT,2024-01-29 20:00:00,101600.0,35.935,1413.6635592041184,7.104,-7150.9009009009005,2024-02-04 04:00:00,exitcondition,2434.8284259805932,102.8174142129903,closed,36.17,6.813
73,ADAUSDT_VETUSDT,2024-02-04 04:00:00,14300.0,0.51,14019.607843137255,0.02868,-249302.64993026498,2024-02-04 08:00:00,exitcondition,38.66537451800818,14.319332687259005,closed,0.5035,0.02814
74,DOTUSDT_VETUSDT,2024-02-02 00:00:00,14300.0,6.789,1053.1742524672266,0.02846,-251229.79620520028,2024-02-05 04:00:00,exitcondition,240.43383498191164,14.420216917490956,closed,6.837,0.02769
75,ADAUSDT_UNIUSDT,2024-02-03 20:00:00,36400.0,0.5178,35148.70606411742,6.138,-2965.1352231997394,2024-02-06 04:00:00,exitcondition,-872.7787915411751,35.963610604229416,closed,0.4943,6.155
76,FILUSDT_UNIUSDT,2024-01-26 16:00:00,36400.0,5.184,3510.8024691358023,5.916,-3076.4029749830966,2024-02-06 16:00:00,exitcondition,-1486.8390882853785,35.65658045585731,closed,5.022,6.219
77,UNIUSDT_VETUSDT,2024-01-23 16:00:00,14300.0,5.713,1251.531594608787,0.02575,-277669.9029126214,2024-02-06 20:00:00,exitcondition,123.83577057265,14.361917885286326,closed,6.335,0.02809
78,DOTUSDT_VETUSDT,2024-02-06 12:00:00,14300.0,6.704,1066.527446300716,0.02792,-256088.8252148997,2024-02-07 00:00:00,exitcondition,98.00898279092726,14.349004491395464,closed,6.807,0.02797
79,DOTUSDT_FILUSDT,2024-02-06 20:00:00,130600.0,6.794,9611.421842802474,5.125,-12741.463414634147,2024-02-07 00:00:00,exitcondition,792.1996438751594,130.99609982193758,closed,6.807,5.075
80,ADAUSDT_AVAXUSDT,2024-02-06 04:00:00,94800.0,0.4943,-95893.18227796884,34.446,1376.066887301864,2024-02-07 12:00:00,exitcondition,1410.5696139614722,95.50528480698074,closed,0.4756,34.167
